Paper,Cited By,author,reference,title,abstract,keyphrases,Influential
0024356dbbb46b20a2b4df71f7cc03dfa8818139,198b711915429fa55162e749a0b964755b36a62e,0.333333333,0.05,0,0.050103647,0,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,9c1a028299cc2b7f4cbdbe6e19abfc844a6ead6b,1,0.111111111,0.136276341,0.070102757,0,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,16239b4b9b9215f30e522f01543fe7583033a690,0,0,0.084579861,0.059000012,0.111111111,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,ba03b36abc133bad0b0692ea904e5a26ffbb8de7,0,0,0,0.054616893,0,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,d0c92b106f758b045643a1ea8a82864bece2bfb6,0,0,0.091939982,0.036841813,0.111111111,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,ff2d41298dcf295e1661ebf469572f8d799306ab,0,0,0.069972543,0.049375636,0.111111111,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,66861e303573478d20dc030812bae465dc85a7cf,0,0,0,0.033663936,0,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,418bff91d4ce3cad70ee7288568d4c2cac3ac4cc,0,0,0,0.098261002,0.111111111,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,b9681cd07ce0590aaaa8bb0f0d417413a0cede9c,0,0,0,0.070963822,0.111111111,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,67f43d5a3ea4ce89a8b10d1fe55c4a65003cc722,0,0.032258065,0.078744603,0.04404623,0.111111111,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,74f61af390292fc197659ae698429df4a2de62df,0,0,0,0.056398831,0,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,745442386c51d1cedae3a09a14781c941a36b306,0,0,0.078744603,0.04339207,0,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,109acf0456a990eb4a0c20daff21382921d5dc5f,0,0,0.10163067,0.037212939,0.1,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,0aacc118744a102db0782da73b1592d0e567d960,0,0,0,0.008735742,0,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,66e21c4a46551429b15fd329f6bf0e5440b376c8,0,0,0.115215543,0.065314502,0.111111111,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,a9ec5b5030d34d6cec60f52232999cc4ff9c63c7,0,0,0.10163067,0.071727694,0.111111111,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,ed2e60f027b03bec109d5cd047c9178b8f8259e1,0,0,0.091939982,0.058476731,0,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,107cb16eadc88d4e4f6cab55a41b293e0539dd1e,0,0,0,0.039898955,0,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,3e6f0453a175e40430eb530dc4f2e7f2aa386f43,0,0,0.115215543,0.009561552,0,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,b1b52688d331e5f697c875846a8218e7897ca2c4,0,0,0.084579861,0.088876329,0.111111111,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,0a9a7912ff46b944a6a4156754271933b828f01b,0.5,0.04,0.084579861,0.045964717,0.111111111,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,9425144cefc35b9571d5954fcfb5ec2cfed9c4d3,0,0,0.201993092,0.157554441,0.111111111,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,c648df7bf6337bbdc55d91583b9d51d07ffb6e8b,0,0,0,0.055053272,0,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,ee59ca2b7f26067f49d9a1f789ea38c8187e8b8f,0,0.058823529,0,0.045030732,0,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,ffc43c1264029c7fc655e190fcb34d079643f34c,0,0,0.115215543,-1,-1,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,92a8cc0b0ab50ac5a3cd2f3a596a12eb3a2fd3d1,0,0,0.115215543,0.051131488,0.111111111,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,0bda64de5d65eafb4ba320c915942a6705e2ce23,0,0,0.066559247,0.027005673,0,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,8fe2266a2255d5592215541bf9ae10acf4d12824,0,0,0.091939982,0.115967471,-1,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,7e8f735e4c71d31764782f526d7c3609bc474fab,0,0,0,0.04234685,0,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,cdc7c381787dee3d0db4d15a292fc1483ccc12a3,0,0,0.084579861,0.077099522,-1,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,3eaf65791c7c5eed6901d95a2178be2f0a11846f,0,0,0.10163067,0.079590227,0.111111111,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,34351aa2fa256e5b4078a081af0624d3a8701cdb,0,0,0,0.015757242,0,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,04fa53cfb61af83163258b5c4cbe0883a3fb43e2,1,0.111111111,0.10163067,0.073282726,0,0
0024356dbbb46b20a2b4df71f7cc03dfa8818139,bf4f6b881d8523c2f673ea70c010e438bc7b5ed9,0,0,0,-1,-1,0
